Prestwick Chemical Library ID	Compound Name	Subset	Well	Plate1	Plate2	Plate3	Plate4	NonInfectedToxHit	EPFL_mean_numberOfNucleiScore	EPFL_mean_numberOfInfectedNucleiScore	EPFL_mean_infectionIndexScore	EPFL_mean_numberOfPlaquesScore	EPFL_mean_totalVirusIntensityScore	EPFL_mean_numberOfNuclei_normalized	EPFL_mean_numberOfInfectedNuclei_normalized	EPFL_mean_infectionIndex_normalized	EPFL_mean_numberOfPlaques_normalized	EPFL_mean_totalVirusIntensity_normalized	Validation_ongoing
Prestw-387	Carbetapentane citrate	C	J10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.025	-0.008	0.024	-0.105	0.059	
Prestw-388	Dequalinium dichloride	C	K10	BSF018294	BSF018298	BSF018302	BSF018306	1	0.3	0.764	0.645	0.553	0.912	0.3	0.764	0.645	0.554	0.912	
Prestw-389	Ketoconazole	C	L10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.016	0.076	0.106	-0.034	0.182	
Prestw-390	Fusidic acid sodium salt	C	N10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.002	0.117	0.121	0.051	0.175	
Prestw-391	Terbutaline hemisulfate	C	O10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.016	-0.192	-0.18	-0.202	-0.246	
Prestw-392	Ketanserin tartrate hydrate	C	P10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.017	-0.076	-0.099	-0.166	-0.14	
Prestw-393	Hemicholinium bromide	C	A11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.073	-0.175	-0.289	-0.203	-0.382	
Prestw-394	Kanamycin A sulfate	C	B11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.015	-0.094	-0.113	-0.075	-0.196	
Prestw-395	Amikacin hydrate	C	C11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.023	0.029	0.001	0.019	0.047	
Prestw-396	Etoposide	C	D11	BSF018294	BSF018298	BSF018302	BSF018306	1	0.501	0.522				0.501	0.523	-0.091	-0.374	0.245	
Prestw-397	Clomiphene citrate (Z,E)	C	E11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.042	0.095	0.053	-0.005	0.105	
Prestw-398	Oxantel pamoate	C	F11	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	0.062	0.103	-0.002	0.115	
Prestw-399	Prochlorperazine dimaleate	C	G11	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.019	0.084	0.11	0.055	0.122	
Prestw-400	Hesperidin	C	J11	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.045	-0.064	-0.014	-0.021	-0.02	
Prestw-401	Testosterone propionate	C	K11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.05	0.045	-0.01	-0.182	-0.005	
Prestw-403	Thyroxine (L)	C	L11	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.003	0.048	0.054	0.055	0.078	
Prestw-405	Pepstatin A	C	M11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.019	-0.008	-0.027	0.012	-0.038	
Prestw-407	Adamantamine fumarate	C	N11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.005	-0.057	-0.063	-0.044	-0.068	
Prestw-408	Butoconazole nitrate	C	O11	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	-0.09	-0.064	-0.14	-0.161	
Prestw-409	Amiodarone hydrochloride	C	P11	BSF018294	BSF018298	BSF018302	BSF018306	1						0.03	-0.225	-0.281	-0.334	-0.364	
Prestw-411	Androsterone	C	C12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.025	0.027	0.002	-0.026	0.037	
Prestw-413	Carbarsone	C	D12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.038	0.186	0.24	0.041	0.316	
Prestw-416	Bacampicillin hydrochloride	C	E12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.025	-0.125	-0.098	-0.101	-0.12	
Prestw-418	Biotin	C	F12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.039	-0.084	-0.034	-0.108	0.009	
Prestw-419	Bisacodyl	C	G12	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.009	-0.001	0.018	0.014	0.014	
Prestw-421	Suloctidil	C	I12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.039	-0.17	-0.119	0.178	-0.142	
Prestw-423	Carisoprodol	C	J12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.035	0.033	0.075	-0.036	0.112	
Prestw-424	Cephalosporanic acid, 7-amino	C	K12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.069	-0.093	-0.015	0.058	0.008	
Prestw-425	Chicago sky blue 6B	C	L12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.008	0.016	0.032	-0.101	0.117	
Prestw-426	Buflomedil hydrochloride	C	M12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.015	0.044	0.066	0.005	0.091	
Prestw-428	Roxatidine Acetate HCl	C	N12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.006	-0.066	-0.076	-0.048	-0.055	
Prestw-430	Cisapride	C	P12	BSF018294	BSF018298	BSF018302	BSF018306	1						0.001	-0.097	-0.101	-0.02	-0.132	
Prestw-432	Corticosterone	C	A13	BSF018294	BSF018298	BSF018302	BSF018306	1	0.38					0.38	0.265	-0.276	-0.157	-0.062	
Prestw-433	Cyanocobalamin	C	B13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.004	0.035	0.037	-0.069	-0.015	
Prestw-434	Cefadroxil	C	C13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.06	0.085	0.02	0.155	0.065	
Prestw-435	Cyclosporin A	C	D13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.184	-0.235	-0.568	-0.138	-0.485	
Prestw-436	Digitoxigenin	C	E13	BSF018294	BSF018298	BSF018302	BSF018306	1	0.988	1.132	1.148	1	1.324	0.988	1.133	1.148	1.002	1.324	
Prestw-437	Digoxin	C	F13	BSF018294	BSF018298	BSF018302	BSF018306	1	0.984	1.132	1.176	1	1.325	0.984	1.133	1.175	1.002	1.325	
Prestw-438	Doxorubicin hydrochloride	C	G13	BSF018294	BSF018298	BSF018302	BSF018306	1	0.944	1.038		0.891	1.145	0.944	1.039	-0.725	0.893	1.145	
Prestw-439	Carbimazole	C	H13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.007	-0.108	-0.121	-0.076	-0.127	
Prestw-440	Epiandrosterone	C	J13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.011	0.056	0.052	-0.068	0.116	
Prestw-441	Estradiol-17 beta	C	K13	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.025	-0.072	-0.038	-0.059	-0.066	
Prestw-443	Gabazine bromide	C	L13	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.024	-0.13	-0.102	0.004	-0.123	
Prestw-445	Cyclobenzaprine hydrochloride	C	M13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.043	-0.037	-0.093	-0.068	-0.05	
Prestw-446	Carteolol hydrochloride	C	N13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.025	-0.053	-0.083	0.02	-0.107	
Prestw-447	Hydrocortisone base	C	O13	BSF018294	BSF018298	BSF018302	BSF018306	1	0.541					0.541	0.479	-0.281	-0.095	0.194	
Prestw-448	Hydroxytacrine maleate (R,S)	C	P13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.015	-0.075	-0.098	-0.09	-0.098	
Prestw-449	Pilocarpine nitrate	C	A14	BSF018294	BSF018298	BSF018302	BSF018306	0						0.049	-0.061	-0.125	-0.064	-0.187	
Prestw-450	Dicloxacillin sodium salt hydrate	C	C14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.023	0.155	0.19	0.273	0.246	
Prestw-451	Alizapride HCl	C	D14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.02	0.102	0.133	0	0.186	
Prestw-455	Mebhydroline 1,5-naphtalenedisulfonate	C	E14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.014	-0.104	-0.089	0.056	-0.085	
Prestw-456	Meclocycline sulfosalicylate	C	F14	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.017	0.118	0.141	-0.031	0.208	
Prestw-457	Meclozine dihydrochloride	C	G14	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.03	-0.082	-0.042	-0.038	-0.015	
Prestw-458	Melatonin	C	H14	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.011	0.044	0.054	0.015	0.086	
Prestw-460	Dinoprost trometamol	C	J14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.058	-0.042	0.022	0.069	0.069	
Prestw-461	Tropisetron HCl	C	K14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.046	-0.133	-0.077	-0.016	-0.08	
Prestw-462	Cefixime	C	L14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.042	-0.048	0	0.044	0.052	
Prestw-463	Metrizamide	C	M14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.01	-0.013	-0.005	0.057	0.021	
Prestw-468	Neostigmine bromide	C	N14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.016	-0.037	-0.018	0.066	0.015	
Prestw-469	Niridazole	C	O14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.008	-0.01	-0.004	0.104	-0.002	
Prestw-470	Ceforanide	C	A15	BSF018294	BSF018298	BSF018302	BSF018306	0						0.08	0.029	-0.066	-0.081	-0.064	
Prestw-473	Cefotetan	C	B15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.077	-0.085	0.007	-0.068	-0.021	
Prestw-475	Brompheniramine maleate	C	C15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	0.092	0.127	0.111	0.125	
Prestw-476	Primaquine diphosphate	C	D15	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.067	-0.078	0.002	0.043	-0.032	
Prestw-477	Progesterone	C	E15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	-0.114	-0.09	-0.01	-0.129	
Prestw-478	Felodipine	C	F15	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.175	-0.054	0.134	-0.112	0.111	
Prestw-481	Serotonin hydrochloride	C	H15	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.019	-0.024	-0.001	0.006	0.013	
Prestw-482	Cefotiam hydrochloride	C	I15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.035	0.006	0.049	-0.008	0.087	
Prestw-484	Benperidol	C	J15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.021	-0.038	-0.014	-0.006	0.003	
Prestw-485	Cefaclor hydrate	C	K15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.026	-0.077	-0.048	-0.002	0.023	
Prestw-486	Colistin sulfate	C	L15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.069	-0.127	-0.05	-0.169	-0.053	
Prestw-487	Daunorubicin hydrochloride	C	M15	BSF018294	BSF018298	BSF018302	BSF018306	1	0.935	1.004		0.794	1.083	0.935	1.004	-0.904	0.795	1.083	
Prestw-488	Dosulepin hydrochloride	C	N15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.021	-0.155	-0.137	-0.019	-0.121	
Prestw-489	Ceftazidime pentahydrate	C	O15	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.014	-0.092	-0.077	-0.009	-0.098	
Prestw-490	Iobenguane sulfate	C	A16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.155	0.111	-0.081	0.029	-0.024	
Prestw-491	Metixene hydrochloride	C	B16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.047	-0.106	-0.173	-0.22	-0.199	
Prestw-492	Nitrofural	C	C16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.017	0.085	0.071	0.075	0.065	
Prestw-493	Omeprazole	C	D16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.014	0.129	0.126	0.045	0.148	
Prestw-494	Propylthiouracil	C	E16	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	-0.006	0.023	0.109	0.031	
Prestw-495	Terconazole	C	F16	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.005	0.029	0.039	-0.002	0.064	
Prestw-496	Tiaprofenic acid	C	G16	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.045	-0.011	0.045	-0.031	0.03	
Prestw-497	Vancomycin hydrochloride	C	H16	BSF018294	BSF018298	BSF018302	BSF018306	1						0.011	-0.088	-0.096	-0.145	-0.133	
Prestw-498	Artemisinin	C	I16	BSF018294	BSF018298	BSF018302	BSF018306	1						0.009	-0.064	-0.078	-0.039	-0.068	
Prestw-499	Propafenone hydrochloride	C	J16	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.008	-0.046	-0.033	-0.163	-0.043	
Prestw-500	Ethamivan	C	M16	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.062	-0.03	0.035	-0.126	0.054	
Prestw-501	Vigabatrin	C	N16	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.004	0.056	0.067	-0.04	0.068	
Prestw-502	Biperiden hydrochloride	C	O16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.032	0.041	0.009	-0.001	0.011	
Prestw-503	Cetirizine dihydrochloride	C	P16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.049	0.028	-0.024	-0.007	-0.039	
Prestw-504	Etifenin	C	A17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.051	-0.082	-0.157	-0.179	-0.158	
Prestw-505	Metaproterenol sulfate, orciprenaline sulfate	C	B17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	0.032	0.057	0.184	0.126	
Prestw-506	Sisomicin sulfate	C	C17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.053	0.059	0.122	0.101	0.151	
Prestw-509	Bromperidol	C	D17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.07	-0.046	0.036	0.122	0.088	
Prestw-510	Cyclizine hydrochloride	C	E17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.052	-0.263	-0.197	-0.053	-0.271	
Prestw-511	Fluoxetine hydrochloride	C	F17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.025	-0.26	-0.244	-0.029	-0.272	
Prestw-512	Iohexol	C	G17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.05	0.071	0.133	0.067	0.16	
Prestw-513	Norcyclobenzaprine	C	H17	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.067	-0.226	-0.144	0.045	-0.138	
Prestw-514	Pyrazinamide	C	I17	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.071	-0.192	-0.108	0.081	-0.11	
Prestw-515	Trimethadione	C	J17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.074	-0.067	0.019	-0.011	0.021	
Prestw-516	Lovastatin	C	K17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.045	-0.187	-0.131	0.066	-0.117	
Prestw-517	Nystatine	C	L17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.111	-0.053	0.068	-0.041	0.132	
Prestw-518	Budesonide	C	M17	BSF018294	BSF018298	BSF018302	BSF018306	1	0.572	0.542				0.572	0.542	-0.261	0.066	0.329	
Prestw-519	Imipenem	C	N17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.01	-0.016	-0.01	-0.065	0.003	
Prestw-520	Sulfasalazine	C	P17	BSF018294	BSF018298	BSF018302	BSF018306	0						0	0.006	0.003	0.055	0.01	
Prestw-522	Thiostrepton	C	A18	BSF018294	BSF018298	BSF018302	BSF018306	1						0.154	0.205	0.039	0.043	0.145	
Prestw-524	Tiabendazole	C	B18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.042	0.2	0.173	0.112	0.207	
Prestw-525	Rifampicin	C	C18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.064	0.07	-0.002	-0.062	0.051	
Prestw-526	Ethionamide	C	D18	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.004	0.096	0.106	0.006	0.15	
Prestw-527	Tenoxicam	C	E18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.007	-0.025	-0.032	-0.071	-0.066	
Prestw-528	Triflusal	C	F18	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.034	-0.082	-0.05	-0.08	-0.069	
Prestw-529	Mesoridazine besylate	C	G18	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.026	-0.13	-0.098	-0.177	-0.132	
Prestw-530	Trolox	C	I18	BSF018294	BSF018298	BSF018302	BSF018306	1						0.011	-0.028	-0.037	0.088	-0.035	
Prestw-531	Pirenperone	C	J18	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.04	0.08	0.132	0.059	0.179	
Prestw-533	Phenacetin	C	K18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.003	-0.122	-0.125	-0.016	-0.174	
Prestw-534	Atovaquone	C	L18	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.064	-0.094	-0.017	0.053	-0.008	
Prestw-535	Methoxamine hydrochloride	C	M18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.054	0.039	-0.017	-0.029	-0.035	
Prestw-536	(R)-(+)-Atenolol	C	N18	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.027	0.107	0.144	0.026	0.182	
Prestw-537	Piracetam	C	O18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.024	0.072	0.051	0.021	0.061	
Prestw-538	Phenindione	C	P18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.074	-0.049	-0.154	-0.077	-0.156	
Prestw-539	Thiocolchicoside	C	A19	BSF018294	BSF018298	BSF018302	BSF018306	0						0.047	-0.083	-0.148	-0.069	-0.17	
Prestw-540	Clorsulon	C	C19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.037	-0.057	-0.01	0.006	-0.024	
Prestw-541	Ciclopirox ethanolamine	C	D19	BSF018294	BSF018298	BSF018302	BSF018306	0	0.598	1.038	0.955	0.976	1.215	0.598	1.039	0.955	0.978	1.215	
Prestw-542	Probenecid	C	E19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.039	-0.201	-0.151	-0.076	-0.176	
Prestw-543	Betahistine mesylate	C	F19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.059	-0.238	-0.168	-0.141	-0.236	
Prestw-544	Tobramycin	C	G19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.072	-0.042	0.044	-0.041	0.058	
Prestw-545	Tetramisole hydrochloride	C	H19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.013	0.044	0.07	0.042	0.122	
Prestw-546	Pregnenolone	C	I19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.033	-0.04	0	0.063	0	
Prestw-547	Molsidomine	C	J19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.039	-0.12	-0.069	-0.024	-0.06	
Prestw-548	Chloroquine diphosphate	C	K19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.044	-0.088	-0.036	0.089	-0.028	
Prestw-549	Trimetazidine dihydrochloride	C	L19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.077	-0.232	-0.147	0.064	-0.155	
Prestw-550	Parthenolide	C	N19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.004	0.171	0.181	0.065	0.262	
Prestw-551	Hexetidine	C	O19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.036	-0.212	-0.17	-0.141	-0.171	
Prestw-552	Selegiline hydrochloride	C	P19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.009	-0.057	-0.043	-0.115	-0.042	
Prestw-553	Pentamidine isethionate	C	A20	BSF018294	BSF018298	BSF018302	BSF018306	1	0.669	1.003	0.78	0.989	1.153	0.669	1.004	0.78	0.99	1.153	
Prestw-554	Tolazamide	C	B20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.033	0.054	0.095	-0.053	0.092	
Prestw-555	Nifuroxazide	C	C20	BSF018294	BSF018298	BSF018302	BSF018306	0						0.012	0.051	0.044	-0.029	0.024	
Prestw-557	Dirithromycin	C	D20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.03	0.095	0.137	0.004	0.148	
Prestw-558	Gliclazide	C	E20	BSF018294	BSF018298	BSF018302	BSF018306	0						0.003	-0.088	-0.09	-0.018	-0.134	
Prestw-559	DO 897/99	C	F20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.056	-0.06	0	-0.016	0.024	
Prestw-560	Prenylamine lactate	C	H20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.042	-0.387	-0.341	-0.004	-0.425	
Prestw-565	Atropine sulfate monohydrate	C	I20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.053	-0.008	0.055	-0.015	0.076	
Prestw-566	Eserine sulfate, physostigmine sulfate	C	J20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.064	0.036	0.114	0.028	0.138	
Prestw-571	Tetraca? hydrochloride	C	L20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.081	-0.091	0.002	-0.033	-0.003	
Prestw-572	Mometasone furoate	C	M20	BSF018294	BSF018298	BSF018302	BSF018306	1	0.639	0.701				0.639	0.701	-0.053	0.216	0.603	
Prestw-574	Dacarbazine	C	N20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.044	0.004	0.054	0.236	0.107	
Prestw-576	Acetopromazine maleate salt	C	O20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.008	-0.158	-0.159	0.014	-0.187	
Prestw-583	Papaverine hydrochloride	C	A21	BSF018294	BSF018298	BSF018302	BSF018306	0						0.155	0.21	0.055	-0.116	0.103	
Prestw-584	Yohimbine hydrochloride	C	B21	BSF018294	BSF018298	BSF018302	BSF018306	0						0.04	0.038	-0.007	-0.132	-0.04	
Prestw-587	Cilostazol	C	C21	BSF018294	BSF018298	BSF018302	BSF018306	0						0.02	0.036	0.017	0.099	0.02	
Prestw-588	Galanthamine hydrobromide	C	D21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.008	-0.064	-0.051	-0.06	-0.059	
Prestw-594	Diclofenac sodium	C	F21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.013	-0.15	-0.139	-0.071	-0.152	
Prestw-598	Xylazine	C	G21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.074	0.021	0.095	-0.094	0.068	
Prestw-607	Eburnamonine (-)	C	J21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.054	0.128	0.193	0.178	0.234	
Prestw-616	Demecarium bromide	C	L21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.002	-0.019	-0.009	-0.054	0.045	
Prestw-617	Quipazine dimaleate salt	C	M21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.02	-0.08	-0.056	0.044	-0.097	
Prestw-619	Diflorasone Diacetate	C	N21	BSF018294	BSF018298	BSF018302	BSF018306	1	0.596	0.625				0.596	0.625	-0.127	0.175	0.484	
Prestw-623	Pyridoxine hydrochloride	C	P21	BSF018294	BSF018298	BSF018302	BSF018306	0						0.02	-0.082	-0.11	-0.172	-0.158	
Prestw-626	Racecadotril	C	A22	BSF018294	BSF018298	BSF018302	BSF018306	0						0.062	0.068	-0.001	-0.053	0.011	
Prestw-627	Folic acid	C	B22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.005	0.107	0.129	0.098	0.136	
Prestw-630	Dimethisoquin hydrochloride	C	D22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.016	0.102	0.123	0.026	0.155	
Prestw-631	Thiamine hydrochloride	C	E22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.045	-0.051	-0.005	0.005	-0.032	
Prestw-632	Dipivefrin hydrochloride	C	F22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.081	0.029	0.116	-0.011	0.142	
Prestw-633	Thiorphan	C	G22	BSF018294	BSF018298	BSF018302	BSF018306	0						0.015	0.147	0.144	-0.092	0.165	
Prestw-641	Sulmazole	C	I22	BSF018294	BSF018298	BSF018302	BSF018306	1	0.417					0.417	0.466	-0.011	0.051	0.342	
Prestw-643	Flunisolide	C	J22	BSF018294	BSF018298	BSF018302	BSF018306	1	0.571	0.615				0.571	0.615	-0.062	0.246	0.49	
Prestw-644	N-Acetyl-DL-homocysteine Thiolactone	C	K22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.067	-0.242	-0.157	-0.097	-0.15	
Prestw-645	Flurandrenolide	C	L22	BSF018294	BSF018298	BSF018302	BSF018306	1	0.565					0.565	0.571	-0.152	0.005	0.4	
Prestw-649	Etanidazole	C	M22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.036	-0.149	-0.116	-0.158	-0.163	
Prestw-651	Glimepiride	C	O22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.007	-0.012	0.001	-0.044	-0.001	
Prestw-652	Picrotoxinin	C	P22	BSF018294	BSF018298	BSF018302	BSF018306	1						0.009	-0.127	-0.137	-0.179	-0.184	
Prestw-653	Mepenzolate bromide	D	A3	BSF018294	BSF018298	BSF018302	BSF018306	0						0.074	0.048	-0.034	-0.121	-0.058	
Prestw-654	Benfotiamine	D	B3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.034	-0.041	0.002	-0.144	-0.079	
Prestw-655	Halcinonide	D	C3	BSF018294	BSF018298	BSF018302	BSF018306	1	0.578	0.622				0.578	0.622	-0.087	0.282	0.525	
Prestw-656	Lanatoside C	D	D3	BSF018294	BSF018298	BSF018302	BSF018306	1	0.985	1.132	1.182	1.001	1.33	0.985	1.132	1.182	1.001	1.33	
Prestw-657	Benzamil hydrochloride	D	E3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.059	-0.024	0.045	0.04	0.069	
Prestw-658	Suxibuzone	D	F3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.059	-0.122	-0.046	0.006	-0.065	
Prestw-659	6-Furfurylaminopurine	D	G3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.057	0.025	0.092	0.065	0.069	
Prestw-660	Avermectin B1a	D	I3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.028	0.136	0.177	0.215	0.25	
Prestw-666	Nisoldipine	D	J3	BSF018295	BSF018299	BSF018303	BSF018307	0						0.013	0.144	0.144	0.133	0.225	
Prestw-671	Dydrogesterone	D	L3	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.04	-0.042	0.01	0.087	-0.011	
Prestw-676	Beta-Escin	D	M3	BSF018295	BSF018299	BSF018303	BSF018307	0						0.003	0.061	0.069	0.133	0.08	
Prestw-683	Pempidine tartrate	D	O3	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.035	0.057	0.107	0.042	0.12	
Prestw-688	Estropipate	D	P3	BSF018295	BSF018299	BSF018303	BSF018307	0						0.051	0.036	-0.023	-0.063	-0.036	
Prestw-692	Citalopram Hydrobromide	D	B4	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.03	0.016	0.057	-0.073	0.03	
Prestw-693	Promazine hydrochloride	D	C4	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.02	-0.006	0.023	0.108	0.084	
Prestw-694	Sulfamerazine	D	D4	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.071	0.086	0.17	0.053	0.178	
Prestw-696	Ethotoin	D	E4	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.099	-0.029	0.083	0.099	0.061	
Prestw-697	3-alpha-Hydroxy-5-beta-androstan-17-one	D	F4	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.095	0.014	0.128	0.027	0.128	
Prestw-698	Tetrahydrozoline hydrochloride	D	G4	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.087	0.076	0.174	0.085	0.178	
